"Stream_Name","spp","age","FishEggs","InvertAquatic_AqOrigin","InvertTerrestrial","InvertTerrestrial_AqOrigin","SalmonEggs","sample.event","sample.event.num","year","site","sim.start","sim.end","season","days"
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2015-1","1","2015","Lower Beaver Creek",2015-06-04 14:14:00,2015-06-29 01:00:00,"Early Summer",24
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2015-2","2","2015","Lower Beaver Creek",2015-06-29 01:00:00,2015-08-06 01:00:00,"Mid-Summer",38
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2015-1","1","2015","Middle Beaver Creek",2015-06-07 12:05:00,2015-07-13 11:10:00,"Early Summer",36
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2015-2","2","2015","Middle Beaver Creek",2015-07-13 11:10:00,2015-08-10 11:49:00,"Mid-Summer",28
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2015-1","1","2015","Upper Beaver Creek",2015-06-06 12:22:00,2015-07-02 11:33:00,"Early Summer",26
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2015-2","2","2015","Upper Beaver Creek",2015-07-02 11:33:00,2015-08-07 11:42:00,"Mid-Summer",36
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2015-3","3","2015","Lower Beaver Creek",2015-08-06 01:00:00,2015-09-05 01:00:00,"Late Summer",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2015-3","3","2015","Middle Beaver Creek",2015-08-10 11:49:00,2015-09-09 11:49:00,"Late Summer",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2015-3","3","2015","Upper Beaver Creek",2015-08-07 11:42:00,2015-09-06 11:42:00,"Late Summer",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2016-1","1","2016","Lower Beaver Creek",2016-05-24 11:36:00,2016-06-21 01:00:00,"Early Summer",28
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2016-2","2","2016","Lower Beaver Creek",2016-06-21 01:00:00,2016-07-19 12:30:00,"Mid-Summer",28
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2016-3","3","2016","Lower Beaver Creek",2016-07-19 12:30:00,2016-08-15 11:55:00,"Late Summer",27
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2016-1","1","2016","Middle Beaver Creek",2016-05-25 11:37:00,2016-06-20 11:15:00,"Early Summer",26
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2016-2","2","2016","Middle Beaver Creek",2016-06-20 11:15:00,2016-07-20 11:30:00,"Mid-Summer",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2016-3","3","2016","Middle Beaver Creek",2016-07-20 11:30:00,2016-08-16 11:30:00,"Late Summer",27
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2016-1","1","2016","Upper Beaver Creek",2016-05-26 12:35:00,2016-06-22 12:45:00,"Early Summer",27
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2016-2","2","2016","Upper Beaver Creek",2016-06-22 12:45:00,2016-07-22 12:45:00,"Mid-Summer",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2016-3","3","2016","Upper Beaver Creek",2016-07-22 12:45:00,2016-08-17 13:55:00,"Late Summer",26
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"LBC-2016-4","4","2016","Lower Beaver Creek",2016-08-15 11:55:00,2016-09-14 11:55:00,"Fall",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"MBC-2016-4","4","2016","Middle Beaver Creek",2016-08-16 11:30:00,2016-09-15 11:30:00,"Fall",30
"Beaver Creek","Chinook",0,NA,0.464,0.018,0.518,NA,"UBC-2016-4","4","2016","Upper Beaver Creek",2016-08-17 13:55:00,2016-09-16 13:55:00,"Fall",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2015-1","1","2015","Lower Beaver Creek",2015-06-04 14:14:00,2015-06-29 01:00:00,"Early Summer",24
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2015-2","2","2015","Lower Beaver Creek",2015-06-29 01:00:00,2015-08-06 01:00:00,"Mid-Summer",38
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2015-1","1","2015","Middle Beaver Creek",2015-06-07 12:05:00,2015-07-13 11:10:00,"Early Summer",36
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2015-2","2","2015","Middle Beaver Creek",2015-07-13 11:10:00,2015-08-10 11:49:00,"Mid-Summer",28
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2015-1","1","2015","Upper Beaver Creek",2015-06-06 12:22:00,2015-07-02 11:33:00,"Early Summer",26
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2015-2","2","2015","Upper Beaver Creek",2015-07-02 11:33:00,2015-08-07 11:42:00,"Mid-Summer",36
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2015-3","3","2015","Lower Beaver Creek",2015-08-06 01:00:00,2015-09-05 01:00:00,"Late Summer",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2015-3","3","2015","Middle Beaver Creek",2015-08-10 11:49:00,2015-09-09 11:49:00,"Late Summer",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2015-3","3","2015","Upper Beaver Creek",2015-08-07 11:42:00,2015-09-06 11:42:00,"Late Summer",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2016-1","1","2016","Lower Beaver Creek",2016-05-24 11:36:00,2016-06-21 01:00:00,"Early Summer",28
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2016-2","2","2016","Lower Beaver Creek",2016-06-21 01:00:00,2016-07-19 12:30:00,"Mid-Summer",28
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2016-3","3","2016","Lower Beaver Creek",2016-07-19 12:30:00,2016-08-15 11:55:00,"Late Summer",27
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2016-1","1","2016","Middle Beaver Creek",2016-05-25 11:37:00,2016-06-20 11:15:00,"Early Summer",26
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2016-2","2","2016","Middle Beaver Creek",2016-06-20 11:15:00,2016-07-20 11:30:00,"Mid-Summer",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2016-3","3","2016","Middle Beaver Creek",2016-07-20 11:30:00,2016-08-16 11:30:00,"Late Summer",27
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2016-1","1","2016","Upper Beaver Creek",2016-05-26 12:35:00,2016-06-22 12:45:00,"Early Summer",27
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2016-2","2","2016","Upper Beaver Creek",2016-06-22 12:45:00,2016-07-22 12:45:00,"Mid-Summer",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2016-3","3","2016","Upper Beaver Creek",2016-07-22 12:45:00,2016-08-17 13:55:00,"Late Summer",26
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"LBC-2016-4","4","2016","Lower Beaver Creek",2016-08-15 11:55:00,2016-09-14 11:55:00,"Fall",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"MBC-2016-4","4","2016","Middle Beaver Creek",2016-08-16 11:30:00,2016-09-15 11:30:00,"Fall",30
"Beaver Creek","Chinook",1,NA,0.14,0.716,0.144,NA,"UBC-2016-4","4","2016","Upper Beaver Creek",2016-08-17 13:55:00,2016-09-16 13:55:00,"Fall",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2015-1","1","2015","Lower Beaver Creek",2015-06-04 14:14:00,2015-06-29 01:00:00,"Early Summer",24
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2015-2","2","2015","Lower Beaver Creek",2015-06-29 01:00:00,2015-08-06 01:00:00,"Mid-Summer",38
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2015-1","1","2015","Middle Beaver Creek",2015-06-07 12:05:00,2015-07-13 11:10:00,"Early Summer",36
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2015-2","2","2015","Middle Beaver Creek",2015-07-13 11:10:00,2015-08-10 11:49:00,"Mid-Summer",28
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2015-1","1","2015","Upper Beaver Creek",2015-06-06 12:22:00,2015-07-02 11:33:00,"Early Summer",26
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2015-2","2","2015","Upper Beaver Creek",2015-07-02 11:33:00,2015-08-07 11:42:00,"Mid-Summer",36
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2015-3","3","2015","Lower Beaver Creek",2015-08-06 01:00:00,2015-09-05 01:00:00,"Late Summer",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2015-3","3","2015","Middle Beaver Creek",2015-08-10 11:49:00,2015-09-09 11:49:00,"Late Summer",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2015-3","3","2015","Upper Beaver Creek",2015-08-07 11:42:00,2015-09-06 11:42:00,"Late Summer",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2016-1","1","2016","Lower Beaver Creek",2016-05-24 11:36:00,2016-06-21 01:00:00,"Early Summer",28
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2016-2","2","2016","Lower Beaver Creek",2016-06-21 01:00:00,2016-07-19 12:30:00,"Mid-Summer",28
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2016-3","3","2016","Lower Beaver Creek",2016-07-19 12:30:00,2016-08-15 11:55:00,"Late Summer",27
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2016-1","1","2016","Middle Beaver Creek",2016-05-25 11:37:00,2016-06-20 11:15:00,"Early Summer",26
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2016-2","2","2016","Middle Beaver Creek",2016-06-20 11:15:00,2016-07-20 11:30:00,"Mid-Summer",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2016-3","3","2016","Middle Beaver Creek",2016-07-20 11:30:00,2016-08-16 11:30:00,"Late Summer",27
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2016-1","1","2016","Upper Beaver Creek",2016-05-26 12:35:00,2016-06-22 12:45:00,"Early Summer",27
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2016-2","2","2016","Upper Beaver Creek",2016-06-22 12:45:00,2016-07-22 12:45:00,"Mid-Summer",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2016-3","3","2016","Upper Beaver Creek",2016-07-22 12:45:00,2016-08-17 13:55:00,"Late Summer",26
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"LBC-2016-4","4","2016","Lower Beaver Creek",2016-08-15 11:55:00,2016-09-14 11:55:00,"Fall",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"MBC-2016-4","4","2016","Middle Beaver Creek",2016-08-16 11:30:00,2016-09-15 11:30:00,"Fall",30
"Beaver Creek","Coho",0,NA,0.534,0.027,0.438,NA,"UBC-2016-4","4","2016","Upper Beaver Creek",2016-08-17 13:55:00,2016-09-16 13:55:00,"Fall",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2015-1","1","2015","Lower Beaver Creek",2015-06-04 14:14:00,2015-06-29 01:00:00,"Early Summer",24
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2015-2","2","2015","Lower Beaver Creek",2015-06-29 01:00:00,2015-08-06 01:00:00,"Mid-Summer",38
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2015-1","1","2015","Middle Beaver Creek",2015-06-07 12:05:00,2015-07-13 11:10:00,"Early Summer",36
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2015-2","2","2015","Middle Beaver Creek",2015-07-13 11:10:00,2015-08-10 11:49:00,"Mid-Summer",28
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2015-1","1","2015","Upper Beaver Creek",2015-06-06 12:22:00,2015-07-02 11:33:00,"Early Summer",26
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2015-2","2","2015","Upper Beaver Creek",2015-07-02 11:33:00,2015-08-07 11:42:00,"Mid-Summer",36
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2015-3","3","2015","Lower Beaver Creek",2015-08-06 01:00:00,2015-09-05 01:00:00,"Late Summer",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2015-3","3","2015","Middle Beaver Creek",2015-08-10 11:49:00,2015-09-09 11:49:00,"Late Summer",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2015-3","3","2015","Upper Beaver Creek",2015-08-07 11:42:00,2015-09-06 11:42:00,"Late Summer",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2016-1","1","2016","Lower Beaver Creek",2016-05-24 11:36:00,2016-06-21 01:00:00,"Early Summer",28
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2016-2","2","2016","Lower Beaver Creek",2016-06-21 01:00:00,2016-07-19 12:30:00,"Mid-Summer",28
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2016-3","3","2016","Lower Beaver Creek",2016-07-19 12:30:00,2016-08-15 11:55:00,"Late Summer",27
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2016-1","1","2016","Middle Beaver Creek",2016-05-25 11:37:00,2016-06-20 11:15:00,"Early Summer",26
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2016-2","2","2016","Middle Beaver Creek",2016-06-20 11:15:00,2016-07-20 11:30:00,"Mid-Summer",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2016-3","3","2016","Middle Beaver Creek",2016-07-20 11:30:00,2016-08-16 11:30:00,"Late Summer",27
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2016-1","1","2016","Upper Beaver Creek",2016-05-26 12:35:00,2016-06-22 12:45:00,"Early Summer",27
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2016-2","2","2016","Upper Beaver Creek",2016-06-22 12:45:00,2016-07-22 12:45:00,"Mid-Summer",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2016-3","3","2016","Upper Beaver Creek",2016-07-22 12:45:00,2016-08-17 13:55:00,"Late Summer",26
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"LBC-2016-4","4","2016","Lower Beaver Creek",2016-08-15 11:55:00,2016-09-14 11:55:00,"Fall",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"MBC-2016-4","4","2016","Middle Beaver Creek",2016-08-16 11:30:00,2016-09-15 11:30:00,"Fall",30
"Beaver Creek","Coho",1,0.041,0.503,0.071,0.385,NA,"UBC-2016-4","4","2016","Upper Beaver Creek",2016-08-17 13:55:00,2016-09-16 13:55:00,"Fall",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2015-1","1","2015","Lower Beaver Creek",2015-06-04 14:14:00,2015-06-29 01:00:00,"Early Summer",24
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2015-2","2","2015","Lower Beaver Creek",2015-06-29 01:00:00,2015-08-06 01:00:00,"Mid-Summer",38
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2015-1","1","2015","Middle Beaver Creek",2015-06-07 12:05:00,2015-07-13 11:10:00,"Early Summer",36
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2015-2","2","2015","Middle Beaver Creek",2015-07-13 11:10:00,2015-08-10 11:49:00,"Mid-Summer",28
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"UBC-2015-1","1","2015","Upper Beaver Creek",2015-06-06 12:22:00,2015-07-02 11:33:00,"Early Summer",26
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"UBC-2015-2","2","2015","Upper Beaver Creek",2015-07-02 11:33:00,2015-08-07 11:42:00,"Mid-Summer",36
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2015-3","3","2015","Lower Beaver Creek",2015-08-06 01:00:00,2015-09-05 01:00:00,"Late Summer",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2015-3","3","2015","Middle Beaver Creek",2015-08-10 11:49:00,2015-09-09 11:49:00,"Late Summer",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"UBC-2015-3","3","2015","Upper Beaver Creek",2015-08-07 11:42:00,2015-09-06 11:42:00,"Late Summer",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2016-1","1","2016","Lower Beaver Creek",2016-05-24 11:36:00,2016-06-21 01:00:00,"Early Summer",28
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2016-2","2","2016","Lower Beaver Creek",2016-06-21 01:00:00,2016-07-19 12:30:00,"Mid-Summer",28
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2016-3","3","2016","Lower Beaver Creek",2016-07-19 12:30:00,2016-08-15 11:55:00,"Late Summer",27
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2016-1","1","2016","Middle Beaver Creek",2016-05-25 11:37:00,2016-06-20 11:15:00,"Early Summer",26
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2016-2","2","2016","Middle Beaver Creek",2016-06-20 11:15:00,2016-07-20 11:30:00,"Mid-Summer",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2016-3","3","2016","Middle Beaver Creek",2016-07-20 11:30:00,2016-08-16 11:30:00,"Late Summer",27
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"UBC-2016-1","1","2016","Upper Beaver Creek",2016-05-26 12:35:00,2016-06-22 12:45:00,"Early Summer",27
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"UBC-2016-2","2","2016","Upper Beaver Creek",2016-06-22 12:45:00,2016-07-22 12:45:00,"Mid-Summer",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"UBC-2016-3","3","2016","Upper Beaver Creek",2016-07-22 12:45:00,2016-08-17 13:55:00,"Late Summer",26
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"LBC-2016-4","4","2016","Lower Beaver Creek",2016-08-15 11:55:00,2016-09-14 11:55:00,"Fall",30
"Beaver Creek","Coho",2,NA,0.285,0.035,0.68,NA,"MBC-2016-4","4","2016","Middle Beaver Creek",2016-08-16 11:30:00,2016-09-15 11:30:00,"Fall",30
